InsertionReason,TimeStamps,UnparsedData
1,1345817,65319
1,1345818,65535
129,1345819,40
129,1345822,76
129,1345825,35
129,1345828,0
129,1345831,0
1,1346267,65280
1,1346819,65535
129,1346821,41
129,1346824,76
129,1346827,35
129,1346830,0
129,1346833,0
1,1347268,65313
1,1347269,65280
1,1347820,65281
1,1347821,65535
129,1347822,42
129,1347825,76
129,1347828,35
129,1347831,0
129,1347834,0
1,1348270,65280
1,1348822,65519
1,1348823,65535
129,1348824,43
129,1348827,76
129,1348830,35
129,1348833,0
129,1348836,0
1,1349271,65533
1,1349272,65280
1,1349824,65535
129,1349829,76
129,1349835,0
1,1350273,65280
1,1350825,65519
1,1350826,65535
129,1350827,45
129,1350830,76
129,1350833,35
129,1350836,0
129,1350839,0
1,1351274,65407
1,1351275,65280
1,1351827,65535
129,1351829,46
129,1351832,76
129,1351835,35
129,1351838,0
129,1351841,0
1,1352276,65312
1,1352277,65280
1,1352828,65447
1,1352829,65535
129,1352830,47
129,1352833,76
129,1352836,35
129,1352839,0
129,1352842,0
1,1353278,65280
1,1353830,65535
129,1353832,48
129,1353835,76
129,1353838,35
129,1353841,0
129,1353844,0
1,1354279,65281
1,1354280,65280
1,1354831,65455
1,1354832,65535
129,1354833,49
129,1354836,76
129,1354839,35
129,1354842,0
129,1354845,0
1,1355281,65280
1,1355832,65316
1,1355833,65535
129,1355834,50
129,1355837,76
129,1355840,35
129,1355843,0
129,1355846,0
1,1356282,65280
1,1356834,65455
1,1356835,65535
129,1356836,51
129,1356839,76
129,1356842,35
129,1356845,0
129,1356848,0
1,1357284,65280
1,1357836,65535
129,1357838,52
129,1357841,76
129,1357844,35
129,1357847,0
129,1357850,0
1,1358285,65280
1,1358837,65535
129,1358839,53
129,1358842,76
129,1358845,35
129,1358848,0
129,1358851,0
1,1359286,65317
1,1359287,65280
1,1359838,65316
1,1359839,65535
129,1359840,54
129,1359843,76
129,1359846,35
129,1359849,0
129,1359852,0
1,1360288,65280
1,1360840,65535
129,1360842,55
129,1360845,76
129,1360848,35
129,1360851,0
129,1360854,0
1,1361289,65453
1,1361290,65280
1,1361842,65535
129,1361843,56
129,1361846,76
129,1361849,35
129,1361852,0
129,1361855,0
1,1362291,65280
1,1362843,65519
1,1362844,65535
129,1362845,57
129,1362848,76
129,1362851,35
129,1362854,0
129,1362857,0
1,1363293,65280
1,1363844,65447
1,1363845,65535
129,1363846,58
129,1363849,76
129,1363852,35
129,1363855,0
129,1363858,0
1,1364294,65280
1,1364846,65535
