,TimeStamps,chunk_serial,UTCTimeStamp
0,8477454.0,5325395,2024-07-03 20:59:26.551800
1,8478455.0,5325396,2024-07-03 20:59:26.585167
2,8479457.0,5325397,2024-07-03 20:59:26.618567
3,8480458.0,5325398,2024-07-03 20:59:26.651933
4,8481460.0,5325399,2024-07-03 20:59:26.685333
5,8482461.0,5325400,2024-07-03 20:59:26.718700
6,8483462.0,5325401,2024-07-03 20:59:26.752067
7,8484464.0,5325402,2024-07-03 20:59:26.785467
8,8485465.0,5325403,2024-07-03 20:59:26.818833
9,8486467.0,5325404,2024-07-03 20:59:26.852233
10,8487468.0,5325405,2024-07-03 20:59:26.885600
11,8488469.0,5325406,2024-07-03 20:59:26.918967
12,8489471.0,5325407,2024-07-03 20:59:26.952367
13,8490472.0,5325408,2024-07-03 20:59:26.985733
14,8491473.0,5325409,2024-07-03 20:59:27.019100
15,8492475.0,5325410,2024-07-03 20:59:27.052500
16,8493476.0,5325411,2024-07-03 20:59:27.085867
17,8494478.0,5325412,2024-07-03 20:59:27.119267
18,8495479.0,5325413,2024-07-03 20:59:27.152633
19,8496481.0,5325414,2024-07-03 20:59:27.186033
20,8497482.0,5325415,2024-07-03 20:59:27.219400
21,8498483.0,5325416,2024-07-03 20:59:27.252767
22,8499485.0,5325417,2024-07-03 20:59:27.286167
23,8500486.0,5325418,2024-07-03 20:59:27.319533
24,8501487.0,5325419,2024-07-03 20:59:27.352900
25,8502489.0,5325420,2024-07-03 20:59:27.386300
26,8503490.0,5325421,2024-07-03 20:59:27.419667
27,8504492.0,5325422,2024-07-03 20:59:27.453067
28,8505493.0,5325423,2024-07-03 20:59:27.486433
29,8506494.0,5325424,2024-07-03 20:59:27.519800
30,8507496.0,5325425,2024-07-03 20:59:27.553200
31,8508497.0,5325426,2024-07-03 20:59:27.586567
32,8509499.0,5325427,2024-07-03 20:59:27.619967
33,8510500.0,5325428,2024-07-03 20:59:27.653333
34,8511502.0,5325429,2024-07-03 20:59:27.686733
35,8512503.0,5325430,2024-07-03 20:59:27.720100
36,8513505.0,5325431,2024-07-03 20:59:27.753500
37,8514506.0,5325432,2024-07-03 20:59:27.786867
38,8515507.0,5325433,2024-07-03 20:59:27.820233
39,8516509.0,5325434,2024-07-03 20:59:27.853633
40,8517510.0,5325435,2024-07-03 20:59:27.887000
41,8518512.0,5325436,2024-07-03 20:59:27.920400
42,8519513.0,5325437,2024-07-03 20:59:27.953767
43,8520514.0,5325438,2024-07-03 20:59:27.987133
44,8521516.0,5325439,2024-07-03 20:59:28.020533
45,8522517.0,5325440,2024-07-03 20:59:28.053900
46,8523518.0,5325441,2024-07-03 20:59:28.087267
47,8524520.0,5325442,2024-07-03 20:59:28.120667
48,8525521.0,5325443,2024-07-03 20:59:28.154033
49,8526523.0,5325444,2024-07-03 20:59:28.187433
50,8527524.0,5325445,2024-07-03 20:59:28.220800
51,8528526.0,5325446,2024-07-03 20:59:28.254200
52,8529527.0,5325447,2024-07-03 20:59:28.287567
53,8530528.0,5325448,2024-07-03 20:59:28.320933
54,8531530.0,5325449,2024-07-03 20:59:28.354333
55,8532531.0,5325450,2024-07-03 20:59:28.387700
56,8533532.0,5325451,2024-07-03 20:59:28.421067
57,8534534.0,5325452,2024-07-03 20:59:28.454467
58,8535535.0,5325453,2024-07-03 20:59:28.487833
59,8536537.0,5325454,2024-07-03 20:59:28.521233
60,8537538.0,5325455,2024-07-03 20:59:28.554600
61,8538539.0,5325456,2024-07-03 20:59:28.587967
62,8539541.0,5325457,2024-07-03 20:59:28.621367
63,8540542.0,5325458,2024-07-03 20:59:28.654733
64,8541543.0,5325459,2024-07-03 20:59:28.688100
65,8542545.0,5325460,2024-07-03 20:59:28.721500
66,8543546.0,5325461,2024-07-03 20:59:28.754867
67,8544548.0,5325462,2024-07-03 20:59:28.788267
68,8545549.0,5325463,2024-07-03 20:59:28.821633
69,8546550.0,5325464,2024-07-03 20:59:28.855000
70,8547552.0,5325465,2024-07-03 20:59:28.888400
71,8548553.0,5325466,2024-07-03 20:59:28.921767
72,8549555.0,5325467,2024-07-03 20:59:28.955167
73,8550556.0,5325468,2024-07-03 20:59:28.988533
74,8551557.0,5325469,2024-07-03 20:59:29.021900
75,8552559.0,5325470,2024-07-03 20:59:29.055300
76,8553560.0,5325471,2024-07-03 20:59:29.088667
77,8554562.0,5325472,2024-07-03 20:59:29.122067
78,8555563.0,5325473,2024-07-03 20:59:29.155433
79,8556565.0,5325474,2024-07-03 20:59:29.188833
80,8557566.0,5325475,2024-07-03 20:59:29.222200
81,8558567.0,5325476,2024-07-03 20:59:29.255567
82,8559569.0,5325477,2024-07-03 20:59:29.288967
83,8560570.0,5325478,2024-07-03 20:59:29.322333
84,8561572.0,5325479,2024-07-03 20:59:29.355733
85,8562573.0,5325480,2024-07-03 20:59:29.389100
86,8563574.0,5325481,2024-07-03 20:59:29.422481
87,8564575.0,5325482,2024-07-03 20:59:29.455862
88,8565576.0,5325483,2024-07-03 20:59:29.489243
89,8566577.0,5325484,2024-07-03 20:59:29.522624
90,8567578.0,5325485,2024-07-03 20:59:29.556005
91,8568579.0,5325486,2024-07-03 20:59:29.589386
92,8569580.0,5325487,2024-07-03 20:59:29.622767
93,8570581.0,5325488,2024-07-03 20:59:29.656148
94,8571582.0,5325489,2024-07-03 20:59:29.689529
95,8572583.0,5325490,2024-07-03 20:59:29.722910
96,8573584.0,5325491,2024-07-03 20:59:29.756291
97,8574585.0,5325492,2024-07-03 20:59:29.789672
98,8575586.0,5325493,2024-07-03 20:59:29.823053
99,8576587.0,5325494,2024-07-03 20:59:29.856434
100,8577588.0,5325495,2024-07-03 20:59:29.889815
101,8578589.0,5325496,2024-07-03 20:59:29.923196
102,8579590.0,5325497,2024-07-03 20:59:29.956577
103,8580591.0,5325498,2024-07-03 20:59:29.989958
104,8581592.0,5325499,2024-07-03 20:59:30.023339
105,8582593.0,5325500,2024-07-03 20:59:30.056720
106,8583594.0,5325501,2024-07-03 20:59:30.090101
107,8584595.0,5325502,2024-07-03 20:59:30.123482
108,8585596.0,5325503,2024-07-03 20:59:30.156863
109,8586597.0,5325504,2024-07-03 20:59:30.190244
110,8587598.0,5325505,2024-07-03 20:59:30.223625
111,8588599.0,5325506,2024-07-03 20:59:30.257006
112,8589600.0,5325507,2024-07-03 20:59:30.290387
113,8590601.0,5325508,2024-07-03 20:59:30.323768
114,8591602.0,5325509,2024-07-03 20:59:30.357149
115,8592603.0,5325510,2024-07-03 20:59:30.390530
116,8593604.0,5325511,2024-07-03 20:59:30.423911
117,8594605.0,5325512,2024-07-03 20:59:30.457292
118,8595606.0,5325513,2024-07-03 20:59:30.490673
119,8596607.0,5325514,2024-07-03 20:59:30.524054
120,8597608.0,5325515,2024-07-03 20:59:30.557435
121,8598609.0,5325516,2024-07-03 20:59:30.590816
122,8599610.0,5325517,2024-07-03 20:59:30.624197
123,8600611.0,5325518,2024-07-03 20:59:30.657578
124,8601612.0,5325519,2024-07-03 20:59:30.690959
125,8602613.0,5325520,2024-07-03 20:59:30.724340
126,8603614.0,5325521,2024-07-03 20:59:30.757721
127,8604615.0,5325522,2024-07-03 20:59:30.791102
128,8605616.0,5325523,2024-07-03 20:59:30.824483
129,8606617.0,5325524,2024-07-03 20:59:30.857864
130,8607618.0,5325525,2024-07-03 20:59:30.891245
131,8608619.0,5325526,2024-07-03 20:59:30.924626
132,8609620.0,5325527,2024-07-03 20:59:30.958007
133,8610621.0,5325528,2024-07-03 20:59:30.991388
134,8611622.0,5325529,2024-07-03 20:59:31.024769
135,8612623.0,5325530,2024-07-03 20:59:31.058150
136,8613624.0,5325531,2024-07-03 20:59:31.091531
137,8614625.0,5325532,2024-07-03 20:59:31.124912
138,8615626.0,5325533,2024-07-03 20:59:31.158293
139,8616627.0,5325534,2024-07-03 20:59:31.191674
140,8617628.0,5325535,2024-07-03 20:59:31.225055
141,8618629.0,5325536,2024-07-03 20:59:31.258436
142,8619630.0,5325537,2024-07-03 20:59:31.291817
143,8620631.0,5325538,2024-07-03 20:59:31.325198
144,8621632.0,5325539,2024-07-03 20:59:31.358579
145,8622633.0,5325540,2024-07-03 20:59:31.391960
146,8623634.0,5325541,2024-07-03 20:59:31.425341
147,8624635.0,5325542,2024-07-03 20:59:31.458722
148,8625636.0,5325543,2024-07-03 20:59:31.492103
149,8626637.0,5325544,2024-07-03 20:59:31.525484
150,8627638.0,5325545,2024-07-03 20:59:31.558865
151,8628639.0,5325546,2024-07-03 20:59:31.592246
152,8629640.0,5325547,2024-07-03 20:59:31.625627
153,8630641.0,5325548,2024-07-03 20:59:31.659008
154,8631642.0,5325549,2024-07-03 20:59:31.692389
155,8632643.0,5325550,2024-07-03 20:59:31.725770
156,8633644.0,5325551,2024-07-03 20:59:31.759151
157,8634645.0,5325552,2024-07-03 20:59:31.792532
158,8635646.0,5325553,2024-07-03 20:59:31.825913
159,8636647.0,5325554,2024-07-03 20:59:31.859294
160,8637648.0,5325555,2024-07-03 20:59:31.892675
161,8638649.0,5325556,2024-07-03 20:59:31.926056
162,8639650.0,5325557,2024-07-03 20:59:31.959437
